field_id	documents	values	value_status
G.402	41	41	not_applicable=1;parse_error=7;reported=33
G.501	360	360	not_applicable=1;reported=359
G.502	361	361	not_applicable=1;reported=360
G.503	361	361	parse_error=1;reported=360
G.504	341	341	not_applicable=1;reported=340
G.505	86	86	not_applicable=1;reported=85
G.506	338	338	not_applicable=1;reported=337
G.507	340	340	reported=340
G.508	334	334	reported=334
G.509	82	82	reported=82
G.510	79	79	reported=79
G.511	206	206	reported=206
G.512	316	316	reported=316
G.513	324	324	parse_error=1;reported=323
G.601	62	62	not_applicable=1;reported=61
G.602	124	124	not_applicable=1;reported=123
G.603	126	126	not_applicable=1;reported=125
G.604	165	165	reported=165
G.605	161	161	reported=161
G.606	40	40	reported=40
H.1001	20	20	reported=20
H.1002	21	21	reported=21
H.1003	21	21	reported=21
H.1004	129	129	reported=129
H.1005	133	133	reported=133
H.1006	133	133	reported=133
H.101	229	229	reported=229
H.102	161	161	reported=161
H.103	75	75	reported=75
H.104	44	44	reported=44
H.105	404	404	reported=404
H.106	417	417	reported=417
H.107	441	441	reported=441
H.108	416	416	reported=416
H.109	440	440	not_applicable=1;reported=439
H.110	462	462	reported=462
H.1101	160	160	not_applicable=2;reported=158
H.1102	174	174	not_applicable=1;parse_error=2;reported=171
H.1103	17	17	not_applicable=1;reported=16
H.111	452	452	parse_error=1;reported=451
H.112	378	378	not_applicable=1;reported=377
H.113	436	436	parse_error=1;reported=435
H.114	399	399	parse_error=1;reported=398
H.115	387	387	not_applicable=1;parse_error=1;reported=385
H.116	321	321	not_applicable=2;reported=319
H.117	400	400	not_applicable=1;parse_error=1;reported=398
H.118	404	404	reported=404
H.119	444	444	parse_error=1;reported=443
H.120	437	437	parse_error=1;reported=436
H.1201	331	331	reported=331
H.1202	328	328	reported=328
H.1203	324	324	reported=324
H.1204	81	81	reported=81
H.1205	106	106	reported=106
H.1206	144	144	reported=144
H.1207	12	12	reported=12
H.1208	11	11	reported=11
H.121	463	463	not_applicable=1;reported=462
H.122	443	443	not_applicable=1;reported=442
H.123	335	335	not_applicable=1;parse_error=1;reported=333
H.124	418	418	reported=418
H.125	431	431	reported=431
H.126	387	387	not_applicable=1;parse_error=1;reported=385
H.127	318	318	not_applicable=1;parse_error=1;reported=316
H.128	73	73	parse_error=1;reported=72
H.1301	339	339	reported=339
H.1302	329	329	reported=329
H.1303	338	338	reported=338
H.1304	319	319	reported=319
H.1305	326	326	reported=326
H.1306	22	22	reported=22
H.1307	17	17	reported=17
H.1308	6	6	reported=6
H.1309	3	3	reported=3
H.1401	318	318	reported=318
H.1402	164	164	reported=164
H.1403	214	214	reported=214
H.1404	221	221	reported=221
H.1405	45	45	reported=45
H.1406	71	71	not_applicable=1;reported=70
H.1407	243	243	reported=243
H.1408	250	250	reported=250
H.1409	35	35	reported=35
H.1410	215	215	reported=215
H.1411	202	202	reported=202
H.1412	54	54	reported=54
H.1413	69	69	reported=69
H.1414	51	51	reported=51
H.1415	17	17	not_applicable=1;reported=16
H.1416	90	90	reported=90
H.1417	79	79	reported=79
H.1418	8	8	reported=8
H.1419	129	129	reported=129
H.1501	357	357	not_applicable=12;parse_error=67;reported=278
H.201	325	325	parse_error=4;reported=321
H.202	384	384	parse_error=2;reported=382
H.203	385	385	parse_error=2;reported=383
H.204	384	384	parse_error=2;reported=382
H.205	384	384	parse_error=2;reported=382
H.206	385	385	parse_error=2;reported=383
H.207	381	381	parse_error=2;reported=379
H.208	378	378	parse_error=4;reported=374
H.209	376	376	parse_error=11;reported=365
H.210	376	376	parse_error=1;reported=375
H.211	377	377	reported=377
H.212	376	376	reported=376
H.213	364	364	parse_error=1;reported=363
H.214	330	330	parse_error=3;reported=327
H.215	392	392	parse_error=2;reported=390
H.216	394	394	parse_error=2;reported=392
H.217	391	391	parse_error=2;reported=389
H.218	388	388	reported=388
H.219	391	391	not_applicable=1;parse_error=1;reported=389
H.220	391	391	parse_error=3;reported=388
H.221	385	385	parse_error=1;reported=384
H.222	402	402	parse_error=30;reported=372
H.223	402	402	parse_error=1;reported=401
H.224	383	383	reported=383
H.225	384	384	reported=384
H.226	364	364	reported=364
H.227	288	288	parse_error=3;reported=285
H.228	360	360	parse_error=22;reported=338
H.229	363	363	parse_error=3;reported=360
H.230	357	357	parse_error=2;reported=355
H.231	360	360	parse_error=23;reported=337
H.232	346	346	not_applicable=1;parse_error=9;reported=336
H.233	333	333	parse_error=1;reported=332
H.234	335	335	not_applicable=1;parse_error=6;reported=328
H.235	328	328	parse_error=13;reported=315
H.236	314	314	reported=314
H.237	313	313	reported=313
H.238	309	309	reported=309
H.239	295	295	reported=295
H.2A01	403	403	parse_error=1;reported=402
H.2A02	387	387	parse_error=1;reported=386
H.2A03	370	370	parse_error=2;reported=368
H.2A04	352	352	parse_error=1;reported=351
H.2A05	345	345	parse_error=1;reported=344
H.2A06	333	333	parse_error=1;reported=332
H.2A07	323	323	parse_error=1;reported=322
H.2A08	303	303	parse_error=1;reported=302
H.2A09	306	306	parse_error=1;reported=305
H.2A10	287	287	parse_error=2;reported=285
H.2A11	285	285	parse_error=4;reported=281
H.2A12	262	262	parse_error=1;reported=261
H.401	359	359	parse_error=1;reported=358
H.501	403	403	parse_error=1;reported=402
H.502	401	401	parse_error=1;reported=400
H.503	301	301	not_applicable=1;parse_error=4;reported=296
H.504	293	293	not_applicable=1;parse_error=2;reported=290
H.505	389	389	parse_error=1;reported=388
H.506	406	406	parse_error=2;reported=404
H.507	402	402	parse_error=1;reported=401
H.508	301	301	not_applicable=1;parse_error=2;reported=298
H.509	296	296	not_applicable=1;parse_error=1;reported=294
H.510	391	391	parse_error=2;reported=389
H.511	403	403	reported=403
H.512	401	401	reported=401
H.513	295	295	not_applicable=1;parse_error=1;reported=293
H.514	285	285	not_applicable=1;reported=284
H.515	390	390	reported=390
H.601	193	193	reported=193
H.602	258	258	reported=258
H.603	33	33	reported=33
H.604	220	220	parse_error=6;reported=214
H.605	266	266	parse_error=6;reported=260
H.606	296	296	parse_error=4;reported=292
H.701	51	51	reported=51
H.702	50	50	reported=50
H.703	94	94	reported=94
H.704	87	87	reported=87
H.7101	16	16	reported=16
H.7102	1	1	reported=1
H.7103	5	5	reported=5
H.801	337	337	reported=337
H.802	31	31	reported=31
H.803	120	120	reported=120
H.804	55	55	reported=55
H.805	73	73	reported=73
H.806	38	38	reported=38
H.807	62	62	reported=62
H.808	10	10	reported=10
H.901	212	212	reported=212
H.902	215	215	not_applicable=1;reported=214
H.903	242	242	reported=242
H.904	90	90	reported=90
H.905	91	91	reported=91
H.906	91	91	reported=91
H.907	25	25	reported=25
I.101	417	417	parse_error=5;reported=412
I.102	411	411	parse_error=4;reported=407
I.103	417	417	parse_error=4;reported=413
I.104	417	417	parse_error=4;reported=413
I.105	400	400	parse_error=4;reported=396
I.106	401	401	parse_error=5;reported=396
I.107	385	385	parse_error=3;reported=382
I.108	366	366	parse_error=3;reported=363
I.109	352	352	parse_error=4;reported=348
I.110	290	290	parse_error=3;reported=287
I.111	414	414	parse_error=3;reported=411
I.112	409	409	parse_error=4;reported=405
I.113	413	413	parse_error=2;reported=411
I.114	415	415	parse_error=4;reported=411
I.115	389	389	parse_error=4;reported=385
I.116	382	382	parse_error=5;reported=377
I.117	368	368	parse_error=3;reported=365
I.118	356	356	parse_error=3;reported=353
I.119	346	346	parse_error=3;reported=343
I.120	287	287	parse_error=3;reported=284
I.121	421	421	parse_error=4;reported=417
I.122	419	419	parse_error=4;reported=415
I.123	420	420	parse_error=3;reported=417
I.124	422	422	parse_error=4;reported=418
I.125	415	415	parse_error=5;reported=410
I.126	410	410	parse_error=4;reported=406
I.127	398	398	parse_error=3;reported=395
I.128	385	385	parse_error=4;reported=381
I.129	376	376	parse_error=3;reported=373
I.130	349	349	parse_error=2;reported=347
I.201	379	379	parse_error=12;reported=367
I.202	392	392	parse_error=3;reported=389
I.203	317	317	parse_error=3;reported=314
I.301	375	375	parse_error=4;reported=371
I.302	383	383	parse_error=4;reported=379
I.303	372	372	parse_error=5;reported=367
I.304	383	383	parse_error=4;reported=379
I.305	378	378	parse_error=4;reported=374
I.306	376	376	parse_error=4;reported=372
